dataset,maximum_candidate_cutoff,seed,method,retrieval_latency_s_per_query,reranker_latency_s_per_query,end_to_end_latency_s_per_query,latency_boundary
fiqa,50,1,dynamic_int8_reranker_cpu,0.04481575918995077,0.6361684539959097,0.6809842131858604,retrieval_plus_reranker
fiqa,50,2,bm25_no_rerank,0.04546068662937614,,0.04546068662937614,retrieval_only
fiqa,50,2,fp32_reranker_cpu,0.04546068662937614,0.8011671010641003,0.8466277876934765,retrieval_plus_reranker
fiqa,50,2,dynamic_int8_reranker_cpu,0.04546068662937614,0.643428980166078,0.6888896667954542,retrieval_plus_reranker
fiqa,50,3,bm25_no_rerank,0.048201955720360276,,0.048201955720360276,retrieval_only
fiqa,50,3,fp32_reranker_cpu,0.048201955720360276,0.8009085664400772,0.8491105221604375,retrieval_plus_reranker
fiqa,50,3,dynamic_int8_reranker_cpu,0.048201955720360276,0.6452189675820118,0.693420923302372,retrieval_plus_reranker
fiqa,50,4,bm25_no_rerank,0.04617065438025748,,0.04617065438025748,retrieval_only
fiqa,50,4,fp32_reranker_cpu,0.04617065438025748,0.8015698213658762,0.8477404757461336,retrieval_plus_reranker
fiqa,50,4,dynamic_int8_reranker_cpu,0.04617065438025748,0.6520094995540275,0.698180153934285,retrieval_plus_reranker
fiqa,50,5,bm25_no_rerank,0.04440644844995404,,0.04440644844995404,retrieval_only
fiqa,50,5,fp32_reranker_cpu,0.04440644844995404,0.7917930114080082,0.8361994598579622,retrieval_plus_reranker
fiqa,50,5,dynamic_int8_reranker_cpu,0.04440644844995404,0.6459532899260084,0.6903597383759624,retrieval_plus_reranker
fiqa,100,1,bm25_no_rerank,0.04490145765063062,,0.04490145765063062,retrieval_only
fiqa,100,1,fp32_reranker_cpu,0.04490145765063062,1.604102659769982,1.6490041174206125,retrieval_plus_reranker
fiqa,100,1,dynamic_int8_reranker_cpu,0.04490145765063062,1.3110371300760453,1.3559385877266759,retrieval_plus_reranker
fiqa,100,2,bm25_no_rerank,0.04403794828016544,,0.04403794828016544,retrieval_only
fiqa,100,2,fp32_reranker_cpu,0.04403794828016544,1.6016446301140532,1.6456825783942186,retrieval_plus_reranker
fiqa,100,2,dynamic_int8_reranker_cpu,0.04403794828016544,1.3052621332939307,1.349300081574096,retrieval_plus_reranker
fiqa,100,3,bm25_no_rerank,0.04790182997981901,,0.04790182997981901,retrieval_only
fiqa,100,3,fp32_reranker_cpu,0.04790182997981901,1.6330481068739027,1.6809499368537217,retrieval_plus_reranker
fiqa,100,3,dynamic_int8_reranker_cpu,0.04790182997981901,1.2847538085920387,1.3326556385718578,retrieval_plus_reranker
fiqa,100,4,bm25_no_rerank,0.046017569949835885,,0.046017569949835885,retrieval_only
fiqa,100,4,fp32_reranker_cpu,0.046017569949835885,1.5702488936139853,1.6162664635638213,retrieval_plus_reranker
fiqa,100,4,dynamic_int8_reranker_cpu,0.046017569949835885,1.2813995799598925,1.3274171499097285,retrieval_plus_reranker
fiqa,100,5,bm25_no_rerank,0.04375834261038108,,0.04375834261038108,retrieval_only
fiqa,100,5,fp32_reranker_cpu,0.04375834261038108,1.6185873484479962,1.6623456910583774,retrieval_plus_reranker
fiqa,100,5,dynamic_int8_reranker_cpu,0.04375834261038108,1.3236143935559812,1.3673727361663623,retrieval_plus_reranker
arguana,20,1,bm25_no_rerank,0.06348377747031918,,0.06348377747031918,retrieval_only
arguana,20,1,fp32_reranker_cpu,0.06348377747031918,0.32775735646398974,0.3912411339343089,retrieval_plus_reranker
arguana,20,1,dynamic_int8_reranker_cpu,0.06348377747031918,0.24659324126204593,0.3100770187323651,retrieval_plus_reranker
arguana,20,2,bm25_no_rerank,0.06849724585008517,,0.06849724585008517,retrieval_only
arguana,20,2,fp32_reranker_cpu,0.06849724585008517,0.32843935401004276,0.3969365998601279,retrieval_plus_reranker
arguana,20,2,dynamic_int8_reranker_cpu,0.06849724585008517,0.2466306954480533,0.3151279412981385,retrieval_plus_reranker
arguana,20,3,bm25_no_rerank,0.063606335259974,,0.063606335259974,retrieval_only
arguana,20,3,fp32_reranker_cpu,0.063606335259974,0.3249822908280621,0.3885886260880361,retrieval_plus_reranker
arguana,20,3,dynamic_int8_reranker_cpu,0.063606335259974,0.24613863434200176,0.30974496960197573,retrieval_plus_reranker
arguana,20,4,bm25_no_rerank,0.06770640839000407,,0.06770640839000407,retrieval_only
arguana,20,4,fp32_reranker_cpu,0.06770640839000407,0.32689643669407814,0.3946028450840822,retrieval_plus_reranker
arguana,20,4,dynamic_int8_reranker_cpu,0.06770640839000407,0.24731164005203754,0.3150180484420416,retrieval_plus_reranker
arguana,20,5,bm25_no_rerank,0.06757275868985743,,0.06757275868985743,retrieval_only
arguana,20,5,fp32_reranker_cpu,0.06757275868985743,0.3285622824879683,0.3961350411778257,retrieval_plus_reranker
arguana,20,5,dynamic_int8_reranker_cpu,0.06757275868985743,0.2458778260340623,0.31345058472391973,retrieval_plus_reranker
arguana,50,1,bm25_no_rerank,0.06331078379967948,,0.06331078379967948,retrieval_only
