dataset,maximum_candidate_cutoff,seed,method,original_nominal_candidates_per_second,actual_candidate_count,latency_s_per_query,corrected_throughput
scifact,50,5,dynamic_int8_reranker_cpu,81.7178187624898,50.0,0.611861657068006,81.7178187624898
scifact,100,1,bm25_no_rerank,32357.66422340959,100.0,0.003090457930138655,32357.66422340959
scifact,100,1,fp32_reranker_cpu,53.96809387110439,100.0,1.852946673248025,53.96809387110439
scifact,100,1,dynamic_int8_reranker_cpu,70.12306874331958,100.0,1.426064229533975,70.12306874331958
scifact,100,2,bm25_no_rerank,30976.804333332788,100.0,0.003228221960016526,30976.804333332788
scifact,100,2,fp32_reranker_cpu,50.99920719374969,100.0,1.9608147950240236,50.99920719374969
scifact,100,2,dynamic_int8_reranker_cpu,67.89124708158202,100.0,1.4729439257439807,67.89124708158202
scifact,100,3,bm25_no_rerank,30227.079544020347,100.0,0.0033082918200670972,30227.079544020347
scifact,100,3,fp32_reranker_cpu,54.88320122601886,100.0,1.822051151648062,54.88320122601886
scifact,100,3,dynamic_int8_reranker_cpu,75.54475422241994,100.0,1.32371864902199,75.54475422241994
scifact,100,4,bm25_no_rerank,28513.13062733033,100.0,0.0035071560996584594,28513.13062733033
scifact,100,4,fp32_reranker_cpu,57.51044047093812,100.0,1.738814712270083,57.51044047093812
scifact,100,4,dynamic_int8_reranker_cpu,66.99248238703821,100.0,1.4927047996559704,66.99248238703821
scifact,100,5,bm25_no_rerank,25216.386096130587,100.0,0.0039656753199597,25216.386096130587
scifact,100,5,fp32_reranker_cpu,50.982403269777755,100.0,1.9614610843439733,50.982403269777755
scifact,100,5,dynamic_int8_reranker_cpu,72.46840551603508,100.0,1.3799116910040612,72.46840551603508
nfcorpus,20,1,bm25_no_rerank,33585.564834649624,15.26,0.0005954939301591367,25625.785968837663
nfcorpus,20,1,fp32_reranker_cpu,76.88886273951329,15.26,0.26011569539995255,58.66620227024864
nfcorpus,20,1,dynamic_int8_reranker_cpu,98.88080242394291,15.26,0.20226373077204335,75.44605224946844
nfcorpus,20,2,bm25_no_rerank,32096.93376016079,15.36,0.0006231124801342958,24650.445127803487
nfcorpus,20,2,fp32_reranker_cpu,77.31459602240132,15.36,0.25868336677598563,59.37760974520421
nfcorpus,20,2,dynamic_int8_reranker_cpu,97.70096161808543,15.36,0.204706275852026,75.03433852268961
nfcorpus,20,3,bm25_no_rerank,31577.525544463344,15.12,0.0006333618500866578,23872.609311614287
nfcorpus,20,3,fp32_reranker_cpu,78.44641299181627,15.12,0.25495110913594543,59.30548822181311
nfcorpus,20,3,dynamic_int8_reranker_cpu,99.28667354653862,15.12,0.20143690271409287,75.0607252011832
nfcorpus,20,4,bm25_no_rerank,35719.80568943077,15.51,0.0005599134601652622,27700.709312153558
nfcorpus,20,4,fp32_reranker_cpu,77.40372090647,15.51,0.25838551126200765,60.02658556296748
nfcorpus,20,4,dynamic_int8_reranker_cpu,97.20994746693597,15.51,0.20574026137399778,75.38631426060884
nfcorpus,20,5,bm25_no_rerank,31170.074571602825,15.29,0.0006416410699966946,23829.52200999036
nfcorpus,20,5,fp32_reranker_cpu,77.77587605528211,15.29,0.2571491446240252,59.45965724426317
nfcorpus,20,5,dynamic_int8_reranker_cpu,98.79836871050098,15.29,0.20243249216597906,75.531352879178
nfcorpus,50,1,bm25_no_rerank,82360.52100581262,35.05,0.0006070869803807,57734.725225074646
nfcorpus,50,1,fp32_reranker_cpu,83.5027465128199,35.05,0.598782699828007,58.53542530548675
